2024-08-06 22:15:47,506 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:48,550 INFO "GET /post/new/ HTTP/1.1" 200 1483
2024-08-06 22:15:48,580 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:49,351 INFO "GET /dashboard/ HTTP/1.1" 200 2141
2024-08-06 22:15:49,396 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:50,452 INFO "GET /profile/ HTTP/1.1" 200 1876
2024-08-06 22:15:50,487 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:51,443 INFO "GET /post/new/ HTTP/1.1" 200 1483
2024-08-06 22:15:51,477 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:52,548 INFO "GET /dashboard/ HTTP/1.1" 200 2141
2024-08-06 22:15:52,578 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:53,329 INFO "GET /post/new/ HTTP/1.1" 200 1483
2024-08-06 22:15:53,365 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:54,464 INFO "GET /profile/ HTTP/1.1" 200 1876
2024-08-06 22:15:54,499 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:54,976 INFO "GET /post/new/ HTTP/1.1" 200 1483
2024-08-06 22:15:55,013 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:55,983 INFO "GET /dashboard/ HTTP/1.1" 200 2141
2024-08-06 22:15:56,021 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:15:56,600 INFO "GET /post/new/ HTTP/1.1" 200 1483
2024-08-06 22:15:56,642 WARNING "GET /static/profile_photos/default_profile.png HTTP/1.1" 404 1861
2024-08-06 22:16:13,399 INFO "GET /dashboard/ HTTP/1.1" 302 0
2024-08-06 22:16:13,409 INFO "GET /?next=/dashboard/ HTTP/1.1" 200 1338
2024-08-06 22:16:41,383 INFO D:\ITSECWB\SECWB\application\application\settings.py changed, reloading.
2024-08-06 22:16:41,858 INFO Watching for file changes with StatReloader
2024-08-06 22:16:58,638 INFO D:\ITSECWB\SECWB\application\application\settings.py changed, reloading.
2024-08-06 22:16:59,120 INFO Watching for file changes with StatReloader
2024-08-06 22:17:06,636 INFO D:\ITSECWB\SECWB\application\application\settings.py changed, reloading.
2024-08-06 22:17:07,114 INFO Watching for file changes with StatReloader
2024-08-06 22:17:13,243 INFO Watching for file changes with StatReloader
2024-08-06 22:17:17,847 INFO "GET / HTTP/1.1" 200 1338
2024-08-06 22:20:41,102 INFO Watching for file changes with StatReloader
2024-08-06 22:21:26,805 INFO Watching for file changes with StatReloader
